Title,hoax,prediction
"Kaesang Ingin Terjun ke Politik, Jokowi Ogah Campur Tangan",0,0
"Jokowi Ungkap Capres Ideal, Relawan Sebut Identik dengan Ganjar",0,0
"Survei Populi Center, Popularitas Prabowo Subianto, Sandiaga dan Anies Stagnan",0,0
"Foto “Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 50 Jamaah Meninggal Dunia”",1,1
Survei IPO: 60 Persen Tak Puas dengan Kinerja Pemerintah Jokowi,0,0
Tjahjo: Posisi Wakil Menteri PAN-RB Tak Perlu Jadi Polemik,0,0
Foto Bupati Gowa dengan Narasi Lockdown Tanggal 19-27 Desember,1,1
"Video Kejadian Angin Kencang yang Melanda Merak, Banten",1,1
Akun Facebook Bupati Kayong Utara Haji Drs Citra Duani,1,1
"Kantor DPW NasDem Aceh Dilempari Telur Busuk dan Kaus Kaki, DPP: Nggak Perlu Ditanggapi",0,0
Luhut Anggap Demo BEM UI Bagian dari Proses Demokrasi,0,0
"Ada 3 Provinsi Baru di Papua, Jokowi Disarankan Keluarkan Perpu soal Pemilu 2024",0,0
KPU Badung Temukan Kasus Catut KTP untuk Keanggotaan Parpol,0,0
"Cak Imin Sebut Watak NU adalah Kekuatan Politik, PBNU Geram: Tidak Benar!",0,0
"Tak Patuhi Instruksi Jokowi soal Mobil Listrik, Gibran Siap Disanksi",0,0
"""Ini Pertunjukan Politik, Bukan Reshuffle Kabinet...""",0,0
Surat Edaran Nomor 16 Tahun 2022 Oleh Lembaga Penjamin Simpanan (LPS),1,1
Jubir: Luhut Enggak Ada Niat Nyapres,0,0
"Saat Jalur Sepeda di Jakarta Jadi Korban Politik: Dirintis Anies, lalu Kini Tak Dilanjutkan",0,0
Akun Instagram MNC Sekuritas,1,1
"“Minyak ASRI seakan akan Islami, padahal minyak goreng produk LEONG HUP ini terbuat dari minyak babi”",1,1
“APA SIH CITA-CITA METRO TV INI?”,1,1
Hasto Kristiyanto Sampaikan Pesan Megawati di Konsolidasi PDIP Sumatera Barat,0,0
"Musra II Digelar di Makassar, Panitia Kembali Undang Jokowi",0,0
Ridwan Kamil Masih Tunggu Waktu yang Tepat Putuskan Gabung ke Partai,0,0
Ace Hasan: Ada Keinginan Kuat Jadikan Kader Golkar Berkuasa di Republik Ini,0,0
"Kebijakan Ticketmaster, Wajibkan Vaksin Covid-19 Sebelum Menghadiri Konser",1,1
Cerita Jokowi soal Upaya Gala Dinner KTT G20 Tak Diganggu Hujan,0,0
RK Ajak PPP Tinggalkan Politik Baliho: Itu Ketinggalan Zaman,0,0
Desmond Buka Suara soal Isu M Taufik Keluar Gerindra dan Gabung NasDem,0,0
Foto “4 Orang Alami Kelumpuhan Wajah Setelah Disuntik Vaksin Corona”,1,1
